1350.70 10.39392 0.12923
1352.61 9.82246 0.14771
1354.86 10.78938 0.13908
1357.87 10.55789 0.15022
1358.68 10.98596 0.18648
1359.59 11.33636 0.15531
1360.90 11.10219 0.12376
1362.84 11.29777 0.23132
1363.43 11.11660 0.24571
1364.86 11.15694 0.15082
1367.85 10.90968 0.14383
1368.60 10.80949 0.14756
1371.83 10.99171 0.11390
1372.57 11.06180 0.15845
1374.83 10.79152 0.15753
1375.56 10.75747 0.12886
1378.64 11.58318 0.13384
1380.71 10.12828 0.19130
1382.52 10.97069 0.14861
1384.66 10.90501 0.16177
1385.73 10.70098 0.14944
1386.54 11.35479 0.18739
1389.58 10.97782 0.14831
1393.73 11.13052 0.24788
1394.49 10.78376 0.15974
1396.63 10.91366 0.16269
1398.73 11.40376 0.14548
1399.70 11.33928 0.20674
1402.69 11.37170 0.24534
1403.72 11.36504 0.15733
1405.74 11.06950 0.15539
1408.66 11.21370 0.13618
1412.61 10.34458 0.13351
1414.74 11.25899 0.15734
1417.49 11.17616 0.15257
1419.71 10.99037 0.11799
1421.69 10.99384 0.14221
1422.42 10.90429 0.24656
1427.65 11.09280 0.14338
1431.67 10.90990 0.11805
1433.46 10.71395 0.13911
1438.48 11.21807 0.16902
1441.36 10.37854 0.17048
1443.45 11.36537 0.12318
1450.34 11.17204 0.17307
1452.61 11.73331 0.13341
1453.50 11.99737 0.20998
1456.49 12.06980 0.10715
1459.24 11.67490 0.13065
1464.49 11.93421 0.13006
1466.54 12.38726 0.10778
1470.26 12.50802 0.14304
1473.28 11.98821 0.11513
1476.35 12.13558 0.11353
1481.17 11.82735 0.13519
1484.50 12.12099 0.25447
1488.48 12.49722 0.12750
1491.47 12.30441 0.11188
1494.30 12.09691 0.11379
1496.34 12.22859 0.12342
1500.49 12.94995 0.12872
1503.42 12.62858 0.10875
1506.53 12.63371 0.09785
1509.45 12.28448 0.15754
1511.42 12.39073 0.36001
1516.51 12.13844 0.11008
1523.39 12.93824 0.11015
1526.22 12.02701 0.09894
1533.46 12.81471 0.14080
1537.34 12.69259 0.14674
1540.49 12.30748 0.13854
1541.33 11.97338 0.13264
1544.32 12.51009 0.11664
1548.31 12.68278 0.15306
1550.30 12.61645 0.12590
1553.27 12.70455 0.11585
1555.30 12.90120 0.10559
1558.40 12.67823 0.11637
1561.28 12.41625 0.14554
1564.29 12.83083 0.11867
1568.26 12.71122 0.13149
1569.25 12.09709 0.14643
1574.25 12.59846 0.12180
1576.24 11.82898 0.15616
1579.23 12.23826 0.11313
1585.22 12.33133 0.16275
1587.21 12.39105 0.11459
1589.21 12.29858 0.15059
